Surge,Sway,Heave,Roll,Pitch,Yaw
-0.005210438,0.00138577,-0.007285729,-0.003164566,0.000229493,-0.004320742
-0.000236192,0.002630689,0.005260575,-0.000385764,-0.002090048,-0.00559892
0.002576186,0.00272444,0.00715202,8.12537E-05,0.002650615,0.00389734
0.001126193,0.003173028,0.010050061,0.000974233,-0.00235276,0.00334336
0.002661245,0.000804977,0.010330203,0.001297908,-0.001570022,0.00678913
0.00089562,0.002353144,0.001939945,0.000736818,-0.001108562,0.004297804
-0.003589374,-0.00168625,-0.000526762,-0.000111788,0.0001104,-0.003856868
0.003107058,-0.001464784,0.000856523,0.001679705,-4.41609E-05,0.006567063
0.002957594,-0.001546702,0.000224255,0.000405122,0.000404107,-0.003607977
0.000981721,-0.001980103,-0.002853204,0.002459418,-0.002136728,-0.006759963
0.002937672,-0.000539346,-0.001713023,0.000236009,0.00566177,0.007920826
0.002363236,0.000685824,-0.003162669,-0.002276991,0.005863831,-0.001922856
0.004470305,0.00153715,0.005459893,0.000725332,6.93589E-05,-0.003960751
-0.005454959,-0.002259396,-0.005320191,0.001948291,-0.009037649,0.007677261
0.002805005,-0.001516721,-0.002963651,0.005113601,-0.009099517,-0.001263609
-0.001661158,-0.001744897,0.000401126,-0.009277982,0.003702768,-0.002284255
-0.002377314,-0.000211189,0.00202779,-0.005742479,0.003784648,-0.003127138
-0.003521703,-0.000794316,0.000253371,0.004835092,-0.000834811,0.005981097
0.004224994,-0.001662868,-0.000235463,-0.00129638,0.002467258,-0.004861421
-0.002927385,-3.93755E-05,-0.001056298,-0.005063903,-0.003547269,-0.006710448
-0.001656486,0.002180658,0.000851419,-0.002797005,0.001708705,0.000760353
7.27782E-05,-0.001684932,0.001871334,0.000359762,0.001819887,0.001989053
0.004104934,-0.001407882,-0.002782836,0.000192598,-0.000763328,-0.00751956
-0.002471116,0.000815862,0.000373952,-0.000341401,0.000250172,0.007775079
0.000560616,-0.000496383,-0.000459235,0.001298494,-0.002549008,0.003178617
9.39617E-05,0.000732161,0.000246422,-0.000509935,-0.000907207,0.008273195
0.003243671,0.00032417,-0.000138032,7.20875E-05,-0.000272626,-0.002989626
-0.003026513,-0.000239503,0.000625268,0.000247149,-0.001765184,-0.004184132
-0.000615915,-0.00096606,-0.000327691,0.001112864,0.000507562,0.000902705
-0.001253217,0.001530133,0.000136714,0.001194077,-0.000101742,0.004391898
-0.002863018,-0.001002893,-0.001501527,0.000235038,0.00055932,-0.000881215
-0.002115404,-0.000186831,-0.000899367,0.003621326,-0.000367264,0.002946468
-0.001568374,0.000995403,-0.003674257,0.001683568,-0.000598537,-0.0011147
-0.002369426,-0.000323886,0.004411498,-0.001635455,0.000932069,-0.002540392
-0.002283488,3.73357E-05,-0.000972985,-0.000277046,0.000146175,0.004155296
-0.001879868,0.001256082,0.001368321,0.000412179,-7.65298E-05,-0.006476126
0.001548387,0.001642796,-0.000886773,0.000349032,0.000223723,0.00800892
0.001128343,0.001705118,-0.001140978,0.00219274,-0.000919995,0.004950354
-0.00071916,0.000891163,0.00013632,0.000508998,-5.73761E-05,0.005063294
-0.00030918,-0.000245338,0.000207272,0.00065204,-0.000798926,-0.000191206
0.001842449,-0.000954564,9.36464E-05,0.000350715,0.001144278,0.002941115
0.002544435,-0.00033342,0.000135349,0.001981131,-0.002571899,0.001221812
-0.002767471,-0.000774246,2.9494E-05,0.000566672,0.002208066,-0.001985872
-9.30398E-05,-0.000639576,-0.000142724,0.002310648,-0.000487742,-0.000844609
0.001019957,0.000734603,-0.000298343,0.002232447,0.00061728,0.000270755
-0.00202604,-0.000188185,0.000212426,-0.002804768,0.000244789,-0.005413996
-0.001000302,-0.001860477,-0.000563847,0.002912653,0.000124012,-0.000717703
0.000255582,0.001607112,-6.40965E-06,0.001308856,0.002394123,6.36116E-05
0.000187045,0.001711865,0.001130617,1.82097E-05,-0.000705378,-0.00055277
-2.99394E-05,-0.001958023,0.000155219,-0.001073676,-0.006303978,0.001374766
-2.90493E-05,-0.000489771,-3.53788E-05,-0.000182297,0.005203201,0.003789093
-0.000127109,0.001572713,-0.000317072,1.84729E-05,0.003106587,-0.003482508
-5.66398E-05,-0.000182508,6.86984E-06,-0.000486354,0.004851164,0.001765318
8.25869E-05,0.001744184,-0.00239386,0.000647765,-0.003865939,0.005752056
0.000171689,0.00097362,0.002985078,0.000914581,-0.004196989,-0.003066047
0.000159969,0.001194504,0.001262619,0.001797748,0.003562744,-0.007096926
0.000167305,0.001189576,0.003483662,-0.006144877,0.000799767,-0.005301434
0.000231777,-3.20755E-05,0.00146477,0.003246117,-0.000348019,-0.000186081
0.000154529,0.002357421,-0.000161969,0.007062114,0.000417693,0.007158555
2.13469E-05,-0.000873068,4.74516E-05,0.000346028,0.00038305,-0.001107507
0.000147038,-0.001367487,0.00082015,0.004666426,-4.14249E-05,0.003990777
0.000285928,-0.001816018,0.00171282,0.003429351,-0.000354441,0.003975024
-0.00075033,-0.000797772,4.84485E-05,-0.001296965,-0.000217732,0.000675227
0.000814625,0.000195961,-0.001184061,0.001777023,-0.000742157,0.005788431
-3.16021E-05,-0.003014096,0.006892338,0.000864399,-0.00133959,0.00539993
0.00106266,0.00157328,0.003580006,0.000642272,0.000911452,0.002629223
0.001795673,0.000924332,-0.003106281,-0.001770972,-0.004135252,0.002560618
0.000734038,0.001523732,0.005304326,0.000501606,-0.000992587,0.005081353
-0.000647287,0.003912219,0.004454709,-0.001483019,0.000137833,-0.005244034
0.000653015,-0.0024994,0.003131921,-0.000552395,-0.002760655,0.00595435
-0.002928334,0.001046252,-0.002204656,0.000180553,-0.002487158,0.007220394
-0.002748893,-0.002522702,0.000308861,0.000198915,-0.001674242,0.005054837
0.000219337,-0.002025668,0.000495145,0.00053093,-0.002102475,-0.005993082
-0.001881405,0.000369578,-1.17574E-05,-0.000225229,0.000791816,-0.008935826
-0.00063643,-0.000808913,-1.82939E-05,0.001999781,0.000374405,0.009267244
-0.001950332,0.000425049,-0.001547511,0.000675723,-0.00016375,0.00935384
-0.001316931,-0.000382472,-6.42757E-05,-0.001259016,3.88871E-05,-0.0020977
-0.003000743,0.001394281,-0.00078619,7.41076E-05,8.12684E-05,0.002465569
-0.001577664,1.85398E-05,-0.000233503,-0.000128952,3.61262E-05,-0.008148771
0.002317887,0.005060182,-7.39792E-05,-0.000996851,-2.09517E-06,-0.011781578
-0.001327295,0.00464398,-0.001298285,0.000290219,0.000190679,-0.002436913
-0.001215154,0.003349776,-9.41653E-06,0.000869189,-0.000332609,0.008143345
-0.004608053,-0.003213388,-0.000616746,-0.001151113,0.00228187,-0.004587404
0.000885573,-0.006002919,0.004723828,-8.95611E-05,-0.004645355,0.007799127
-0.003005607,-0.005443293,-0.001385313,0.004998492,-0.00624011,0.002427954
-0.004431878,-0.00689007,-0.004065818,0.004256605,0.000667953,-0.009271136
-0.003255703,-0.004588742,0.001022957,-0.001475177,-0.005667963,-0.010641482
-0.005409863,0.000138771,-0.000155239,-0.003964991,-0.004078603,-0.007953013
0.004358462,-0.000957334,0.000687487,0.001395261,-0.000244258,0.01014986
0.005077586,-0.004448273,0.002651779,0.002244879,-0.005707965,-0.013901152
-0.003620172,0.007415114,0.003197889,0.007667353,-0.00357094,-0.012649114
-0.002121668,-0.007607108,-0.002289462,0.001646307,0.001109397,0.002281843
-0.004748615,-0.004558286,-0.001959034,-0.000628011,-1.11621E-05,-0.003704183
-0.002183368,0.006804502,-0.001888986,-0.000460361,0.000106307,-0.013129825
0.004345702,0.001146302,-6.31967E-05,0.002160292,-0.000658128,-0.001729171
0.001462697,0.002041183,0.002761834,0.001094653,0.000294946,-0.004643406
-0.002521848,-0.008733831,-0.000709084,-0.005096216,-0.000767975,-0.010377994
-0.002782176,0.008726727,0.003608817,-0.000916145,-0.001485734,-0.007185456
0.000676267,0.000725882,-0.008330746,-0.001390849,-0.002212379,0.00260299
0.003830969,-0.008084256,-0.000857757,0.002146232,0.00247098,0.000666364
0.001084133,0.008480349,0.009329064,-0.003796856,-0.004492314,-0.006492536
0.005271603,-0.001181028,0.004464806,-0.009639966,0.000220302,-0.014004713
-0.002817062,-0.008062109,-0.000213953,0.012708462,-0.002673852,-0.015370157
0.002827293,-0.004628962,-0.000235842,-0.007803922,0.012478238,-0.004089272
-0.006593302,0.004052675,-0.003400057,-0.00148178,-0.006649515,0.007299154
-0.001344639,-0.008554925,0.000657755,0.002145755,0.00383126,0.01105282
-0.002015481,0.007335459,0.000533005,0.002123015,-0.003491332,-0.016749687
-0.005738957,-0.006981446,-0.000798262,0.001229738,0.000233021,0.011537835
-0.000644527,0.001124589,0.003233077,-0.007083601,0.001745082,-0.008897757
0.003117508,0.008146083,0.004434015,-0.003023553,-0.003360086,-0.010450105
0.000596141,-0.006779728,0.006532016,-0.004536604,0.003002655,0.007194888
-0.00413727,-0.004583165,0.002331665,-0.01091204,0.00034101,-0.012113028
0.001656129,0.005671921,5.75689E-05,-0.004836463,0.003068501,-0.01215377
-0.00317394,-0.00582665,-0.002490222,0.000721858,-0.000388884,-0.007872944
0.002373133,0.004185334,0.00339474,-0.000191653,0.001109788,-0.012076183
-0.005667927,-0.000275917,0.003711247,6.96256E-05,0.002906432,0.010189816
-0.001993293,-0.000598545,-0.001702251,-0.00437262,-0.005452834,0.001952669
-0.002946904,-0.007629334,-0.001026636,0.003745178,0.000458792,0.00728514
0.00653424,-0.01086432,0.000483582,0.004599141,-0.000806054,-0.016368604
0.003411043,0.008922768,0.000339234,-0.001174603,6.67992E-05,0.003182208
0.003990166,-0.003137443,0.00131728,0.002714622,0.000694183,0.015971741
0.002277783,0.008040358,-0.003315629,-0.000153129,0.000147724,-0.005961841
-0.002625449,0.010260229,-0.003633941,-0.001482663,-0.001752139,-0.009175945
0.000972524,0.008481932,0.000506574,-0.003763716,-0.00340962,0.009125655
-0.00091578,-0.006363057,0.005754973,0.001716116,0.002482064,-0.004019104
0.003047205,-0.003970542,0.00270268,-0.003469408,0.00392124,0.002293608
0.002399291,-0.002026322,0.001414783,-0.002344183,-0.000265087,-0.004348777
0.002634651,0.005346892,-0.000551281,-0.000186498,0.006059968,-0.00075634
-0.001438478,-0.003570441,-0.000498711,0.001890506,-0.001612795,0.012147383
-0.002088138,-0.001627268,-0.001154323,0.000721362,0.000465116,-0.012565032
0.001886001,-0.008550898,0.001078777,0.000742331,-0.000210356,-0.005730041
0.001292239,0.002962872,0.002233217,0.002469115,-0.00045797,0.012631895
0.001053799,-0.003857379,-0.00080605,0.001983424,0.000777914,0.004077727
-0.001853907,-0.009835829,0.003192483,-0.004188522,0.000225149,0.006662543
-0.000346868,-0.003980761,-0.001696337,-0.006048279,-0.000628473,0.000717219
-0.002068998,0.007387786,-0.001081259,-0.000219483,0.002880738,-0.001552978
-0.001483255,0.008608219,0.001186889,0.001670079,-0.004370966,0.002820577
0.00123216,0.003355321,-0.000140288,-0.008236746,-0.001389508,0.003523525
-0.001536029,-0.008158565,0.000792289,-0.00012269,-0.005607146,0.004678615
-0.000318886,0.005588469,-0.000723247,-0.000182546,0.002138437,-0.002725413
0.00114506,-0.009789647,0.000441854,0.003017286,-0.002989905,0.005018622
-0.001676499,0.010882068,-0.00010263,-0.00016488,0.002144755,0.005628825
0.000589555,-0.006519983,1.03102E-05,0.000413912,0.000585655,0.002007381
-0.001544997,0.00456433,-3.62875E-05,0.000353015,0.000155851,-0.003363845
0.000294432,0.005602278,0.000237282,0.000391488,3.70986E-05,0.00649446
-0.000550767,-0.003538615,0.000778145,0.00290034,0.000251283,-0.004182974
-0.000675196,0.00120343,0.000413392,-0.004569625,-0.000524108,0.001053924
0.000561964,0.011653945,0.001907399,0.000681564,0.000102734,-0.002594599
0.000758477,0.009259165,0.001576729,0.003795448,-0.000514501,-0.000244186
-0.00108822,0.002331284,-0.002496457,-0.001129863,-0.002322329,-0.000119167
-0.001538133,-0.008988559,0.001314093,0.001289659,-0.002052879,0.000613437
-0.001123792,-0.003093348,0.002077712,-0.000325906,0.006853502,7.90712E-05
-9.8974E-05,-0.007622203,-0.002013332,-2.49454E-05,0.001762772,0.00021596
-0.001108683,0.001466973,-5.12076E-05,0.001033362,0.011626528,-0.000963265
-0.002046728,-0.003055009,-8.08736E-05,-0.005356386,0.013260848,0.001989335
-0.00089884,-0.000105653,-0.000375981,0.00027122,0.007889145,-0.000377655
0.001016657,0.00909933,0.000130563,-0.000810681,-0.013388688,0.000908072
8.71556E-05,0.011320469,0.008300311,-0.012863357,-0.009512014,0.00046221
-0.000758336,0.005922679,0.00299719,0.000984533,0.012496731,0.000176357
-0.000927907,0.00658765,-0.006037602,0.002904844,0.006439733,-0.000275319
-8.07855E-05,0.006328742,-0.00562069,-0.001091383,0.00148149,0.00055704
5.834E-05,0.011030663,0.00883811,-0.000140691,0.001414098,-0.000106906
0.000124,0.002672245,-0.005331985,6.98415E-05,0.003218501,0.000748646
-0.000774129,-0.011619566,0.000565038,0.001386396,0.000508705,0.000806587
0.001032969,-0.003482001,-0.002884234,-0.001303711,-0.000768513,-0.000765298
-0.001159371,0.012390426,0.000888695,-0.000622258,0.000603066,-0.00243513
-0.000246638,-0.011662746,-0.000407212,5.89731E-05,-4.30882E-05,-0.000866571
-0.000818911,-0.01217038,-0.000922873,-8.69907E-05,-0.00027367,-0.002766676
-0.000369293,-0.008433619,0.003250045,-8.09729E-05,-0.001465631,0.000356311
-3.24772E-05,-0.003046156,0.0021897,0.000472981,-0.001108325,0.001069933
-0.000611529,-0.001623345,0.009636838,0.000759618,0.000158636,-0.000713345
-0.001418122,-0.00260737,0.009974681,-0.000490245,-0.001655924,-0.008133393
-0.000158247,-0.004170317,0.00428617,0.000122215,0.001718553,-0.002438995
-0.001380241,-0.006514198,-0.010804707,0.000823234,0.000487015,0.006639147
0.000281634,-0.010342453,-0.00125851,0.000550448,0.000878233,-0.003599445
-0.001419105,-0.004825044,1.52112E-05,0.003201498,-0.000214105,-0.007297273
0.000258002,0.007231454,-0.004631023,0.000964697,-0.002243497,0.001627567
0.000487307,-0.009922637,0.003545808,0.004247361,-3.91793E-05,-0.0009396
-0.000600303,0.00162168,-0.012021818,0.000406067,-0.003869753,-0.001396829
-0.003324666,-0.002556574,-0.001524685,-0.000374532,-0.005109523,-0.003364188
-0.003293804,0.003065021,-0.003685111,2.25321E-05,-0.005031252,-0.002206464
0.000797804,0.001927803,0.009781092,-0.006573774,0.000785172,0.01271523
0.001275012,0.002763862,0.00564874,-0.000593466,0.007977811,0.00010299
-0.006912096,-0.008153021,-0.005663013,-0.009794764,-0.00490615,-0.007252446
-0.003690823,-0.001656761,0.000985641,-0.00581511,-0.00451157,0.002651471
0.006120774,-0.007896526,-0.000869807,-0.002574954,-0.00125869,0.001921704
0.004836603,0.008406336,0.005318108,0.000441915,0.001953646,-0.007101433
-0.005965217,0.006145578,0.000857013,-0.005752479,-0.000268466,-0.004254684
-0.004953149,0.000894462,-0.003670811,-0.005607984,0.000309874,-0.013344587
0.001721209,0.00088635,0.001638031,0.003004345,-0.001728546,0.011875901
0.000294272,-0.001295966,-0.006535483,0.00571093,-0.004352984,-0.008045245
0.00081812,0.002522898,8.1274E-05,-0.018219913,-0.002020672,0.000773987
-0.000105313,-0.002494598,0.000500707,0.017420687,0.004345043,-0.012311065
0.000601127,-0.000685766,0.000449045,0.00518897,0.000395342,-0.005670495
-0.002628705,-0.003803239,-0.000471087,0.003657022,0.000388099,0.01288976
0.002225006,-0.00308473,-0.005476798,0.007340423,0.001177012,-0.015391094
-0.000735408,-0.000276874,0.012218685,8.46033E-05,-0.002024634,-0.005098547
0.003280295,-0.004308515,0.009047923,-0.00026758,-0.009689163,-0.015577236
-0.005571598,-0.002131261,0.008201608,-0.00010385,-0.011792197,0.000382058
-0.000865727,-0.002129626,-0.000218266,0.000932167,-0.015552043,0.00187689
-0.004278593,-0.003843115,0.004151164,-0.005470115,0.00885048,-0.000966945
-0.00206287,-0.001039026,0.003570764,-0.006188451,-0.008459802,0.01175827
0.00408718,0.000737439,-0.000125457,-0.010312233,-0.003893746,-0.007649295
0.00755045,-0.002672641,-0.00120374,0.008321795,0.001743986,-0.01618604
0.007128251,-0.00035105,-0.001733754,-0.001032749,0.002358827,-0.006191736
0.004187295,-0.000891273,-0.000959076,0.003121077,0.005824387,0.017796501
0.010990221,-0.00103062,0.008270784,0.001009968,0.004278521,0.001740825
-0.005489384,-0.002149689,0.012182511,3.0552E-05,-0.003460673,0.015233334
-0.006948307,0.000977946,-0.011764556,-0.001132419,0.002349328,0.012719431
0.000916966,-0.000485541,-0.007479736,-0.000627554,0.00032415,-0.004855433
-0.004426531,0.001282192,-0.003423754,-0.000739239,0.002720735,-0.002142283
-0.005422865,-0.000432084,0.00510136,-8.24344E-05,0.003819669,0.009722591
0.011196097,-0.00075578,-0.004486164,-0.001412198,-0.001003313,0.002267552
0.000250402,0.000345987,0.001567974,0.004045616,0.000897907,0.014393871
-0.001665794,0.000736327,0.000162915,-0.001950708,0.000696011,0.015576679
-0.007596615,-0.000715787,-9.22059E-05,-0.002999227,-0.00047448,0.002161402
0.007489233,0.000507149,-0.001028167,0.00074846,-0.001499203,-0.01369312
0.006627002,-0.000179917,-0.003361246,3.58209E-05,0.003465366,0.00417188
