t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
3.000000,-0.762300,1.266554,1.179408,0.084684,-0.953138,1.438076,1.209960,1.367967,1.219443,0.613437,0.203143,-0.069841,-0.606114,-0.926166,-0.614657,1.445187,1.362930,0.759745,0.506117,0.275057,-0.586846,-1.228047,-0.527645,-0.268353,1.196307,1.257775,0.966806,0.620330,0.502598,-0.437100,-0.696316,-0.697299,-0.485487
3.100000,-0.824071,1.295916,1.190266,0.046012,-1.010527,1.454613,1.248068,1.364703,1.224806,0.629132,-0.220920,-0.132187,-0.981491,-1.107244,-0.638068,1.546294,1.307893,0.556303,0.415466,-0.114625,-0.636780,-1.692804,-0.589468,-0.292669,1.254520,1.246308,0.905550,0.645544,0.173497,-0.508998,-1.247843,-0.836743,-0.287732
3.200000,-0.882960,1.349529,1.188978,-0.035357,-1.087096,1.464705,1.264754,1.336556,1.238608,0.524763,-0.508664,-0.053771,-1.256913,-1.239619,-0.613830,1.616555,1.217046,0.429118,0.302822,-0.339795,-0.558832,-2.005564,-0.614024,-0.329008,1.294836,1.206372,0.864603,0.621833,-0.052655,-0.441202,-1.725628,-0.843683,-0.064015
3.300000,-0.935182,1.421298,1.184170,-0.154417,-1.180614,1.473569,1.290714,1.283737,1.251328,0.450215,-0.604841,0.043273,-1.400199,-1.292021,-0.591697,1.650714,1.125604,0.376696,0.269715,-0.397660,-0.479914,-2.148247,-0.600455,-0.362596,1.331117,1.154637,0.843375,0.607200,-0.115892,-0.353306,-1.951415,-0.815007,0.024696
3.400000,-0.978573,1.497803,1.187002,-0.297961,-1.284331,1.483637,1.333739,1.221177,1.261396,0.474672,-0.540533,0.101104,-1.391582,-1.288842,-0.575432,1.676850,1.043872,0.348116,0.328543,-0.359683,-0.470917,-2.128974,-0.559968,-0.376933,1.374069,1.105644,0.827701,0.626962,-0.052866,-0.324277,-1.943855,-0.798565,0.022928
3.500000,-1.015999,1.566287,1.201451,-0.448328,-1.389563,1.493889,1.390305,1.173834,1.271240,0.583436,-0.315136,0.120777,-1.242697,-1.244720,-0.545077,1.713268,0.982579,0.326739,0.459952,-0.237253,-0.526093,-1.970074,-0.506294,-0.359211,1.426590,1.077055,0.809905,0.671203,0.116381,-0.346515,-1.741455,-0.777130,-0.044826
3.600000,-1.056290,1.616419,1.226591,-0.590933,-1.492265,1.506598,1.448986,1.166528,1.286178,0.647041,0.040514,0.125322,-0.981304,-1.117807,-0.511724,1.749918,0.967392,0.303524,0.576763,-0.016612,-0.584860,-1.700275,-0.384756,-0.323626,1.483533,1.086123,0.803968,0.689250,0.350376,-0.346697,-1.351183,-0.739065,-0.220674
3.700000,-1.109296,1.644388,1.257657,-0.712763,-1.587652,1.523367,1.502551,1.198095,1.310270,0.569795,0.399400,0.181257,-0.635205,-0.886112,-0.490185,1.780324,1.002010,0.257878,0.594348,0.260577,-0.595717,-1.353996,-0.129003,-0.302487,1.538046,1.129894,0.830702,0.665169,0.577836,-0.250893,-0.835078,-0.605676,-0.474017
3.800000,-1.177906,1.655456,1.287521,-0.802650,-1.664484,1.542874,1.550549,1.244028,1.340333,0.405466,0.600200,0.365646,-0.275632,-0.588909,-0.475550,1.820000,1.055503,0.207904,0.559263,0.490172,-0.516007,-1.017725,0.231079,-0.330447,1.590640,1.182459,0.898675,0.616208,0.715229,-0.045263,-0.360520,-0.339233,-0.646811
3.900000,-1.261641,1.654680,1.313060,-0.856155,-1.714271,1.564906,1.596633,1.278990,1.372292,0.300685,0.559928,0.581527,0.045177,-0.265694,-0.478549,1.903322,1.084594,0.175491,0.561755,0.571027,-0.400646,-0.761581,0.621130,-0.468174,1.649558,1.208051,0.983123,0.563266,0.700211,0.163192,0.041472,0.001634,-0.706179
4.000000,-1.356439,1.646889,1.332870,-0.871478,-1.731837,1.588421,1.639163,1.296516,1.416611,0.284906,0.369479,0.685333,0.328266,0.036437,-0.521992,2.014126,1.074140,0.076727,0.544483,0.516752,-0.367455,-0.712822,0.973744,-0.792581,1.717298,1.194082,1.040879,0.519741,0.586442,0.258477,0.399048,0.342106,-0.683539
