t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
2.400000,1.714084,0.351994,2.471520,0.561558,0.744391,-2.160551,0.216127,1.331757,0.236952,0.660132,1.614008,0.259050,-0.497845,-0.601132,-0.590522,2.940622,2.564150,1.784511,1.958201,-0.667771,-0.545704,3.109131,0.934021,1.413483,0.956884,1.989095,0.865348,-0.682327,1.266501,-0.918522,-1.086649,0.440353,-0.842796
2.500000,1.658140,0.260735,2.684255,0.579288,0.752257,-2.266288,0.286454,1.435751,0.324243,0.318819,1.674898,0.783095,-0.159446,-0.411555,-0.688226,3.129743,2.543303,1.832777,1.762714,-0.736123,-0.332488,-2.812427,0.965126,1.552677,1.163646,2.052508,0.883937,-0.287647,1.315605,-0.555389,-0.880653,0.573481,-1.188735
2.600000,1.587797,0.182309,2.906714,0.646545,0.796217,-2.374897,0.334066,1.575764,0.456796,0.114882,1.653915,1.025679,0.040508,-0.348595,-0.770807,3.203364,2.441959,1.786779,1.547648,-0.752355,-0.188828,-2.561080,1.001077,1.644716,1.305844,2.069655,0.886782,-0.074464,1.229529,-0.390534,-0.779609,0.598693,-1.352474
2.700000,1.507189,0.119700,3.120966,0.746881,0.862476,-2.487540,0.331019,1.755592,0.561169,0.055477,1.709025,0.852109,0.043265,-0.412364,-0.814644,3.167995,2.229799,1.450594,1.420918,-0.736264,-0.522919,-2.091514,0.955118,2.017827,1.451057,2.126486,0.903074,-0.008530,1.269314,-0.416612,-0.766369,0.497233,-1.325210
2.800000,1.428330,0.071073,3.312815,0.860094,0.933233,-2.604740,0.318391,1.943026,0.600371,0.196471,1.691095,0.282838,-0.140731,-0.631257,-0.814524,3.163987,2.061150,1.100339,1.508262,-0.523485,-0.917416,-2.006861,0.621237,2.288811,1.572897,2.254038,0.894303,-0.105575,1.368644,-0.633528,-0.875050,0.297959,-1.132192
2.900000,1.362946,0.026881,3.477965,0.963843,0.986218,-2.724642,0.345399,2.091507,0.571252,0.517511,1.293147,-0.413751,-0.447221,-0.951510,-0.796491,3.221222,2.017432,0.859999,1.602091,-0.060296,-1.005715,-2.294126,0.229358,2.407718,1.595365,2.385129,0.814191,-0.374984,1.249101,-0.967554,-1.131311,0.095991,-0.827008
3.000000,1.318268,-0.027417,3.618557,1.040581,1.006169,-2.845671,0.409413,2.167495,0.506996,0.801829,0.512137,-0.787711,-0.804590,-1.271225,-0.756904,3.368715,2.076136,0.813551,1.645642,0.310942,-0.594379,-2.707169,-0.101847,2.376867,1.500244,2.435482,0.693508,-0.673245,0.795005,-1.177909,-1.497638,0.016697,-0.468407
3.100000,1.292514,-0.103962,3.739589,1.080806,0.989446,-2.966319,0.473049,2.171166,0.437574,0.881507,-0.278951,-0.768917,-1.151498,-1.518546,-0.679064,3.541092,2.111280,0.840661,1.684394,0.388222,-0.137882,-3.050057,-0.379368,2.357419,1.351427,2.392924,0.599803,-0.827081,0.208607,-1.143977,-1.855088,0.099289,-0.167406
3.200000,1.276526,-0.205673,3.845751,1.081581,0.939123,-3.083314,0.523605,2.115446,0.372443,0.784511,-0.853963,-0.607480,-1.436100,-1.660844,-0.580296,3.713283,2.096875,0.906696,1.688801,0.283988,0.200696,2.987838,-0.536631,2.374218,1.214745,2.298628,0.564908,-0.818939,-0.276587,-0.936161,-2.125924,0.239269,-0.021036
3.300000,1.263584,-0.329780,3.938476,1.047362,0.865727,3.088484,0.574845,2.014492,0.321388,0.650537,-1.185984,-0.478449,-1.603692,-1.701169,-0.502701,3.879519,2.066880,0.987197,1.642830,0.152419,0.406191,2.852082,-0.579253,2.392698,1.109175,2.186187,0.572641,-0.746640,-0.579151,-0.705703,-2.290706,0.322873,-0.002895
3.400000,1.250044,-0.469703,4.017913,0.988358,0.782596,2.982527,0.635389,1.884789,0.278366,0.589732,-1.319260,-0.430937,-1.616458,-1.648214,-0.462751,4.034249,2.049670,1.068458,1.568150,0.086225,0.512329,2.853011,-0.529286,2.405768,1.015179,2.064772,0.588042,-0.700098,-0.744076,-0.548831,-2.319400,0.320589,-0.062497
3.500000,1.233127,-0.616387,4.084328,0.918716,0.699861,2.881167,0.703974,1.746101,0.226333,0.654162,-1.277653,-0.474692,-1.474171,-1.512510,-0.438339,4.180247,2.066712,1.139883,1.491539,0.118321,0.534353,3.004647,-0.405401,2.425803,0.910153,1.937909,0.576042,-0.713062,-0.807909,-0.505892,-2.200800,0.264008,-0.191138
3.600000,1.211125,-0.762479,4.139062,0.856070,0.627167,2.782732,0.772867,1.627285,0.150499,0.779393,-1.017571,-0.615570,-1.224012,-1.326255,-0.413311,4.320122,2.111282,1.194024,1.409444,0.212932,0.438807,-3.001445,-0.225985,2.443148,0.795203,1.830769,0.521906,-0.755774,-0.736682,-0.566253,-1.965288,0.205493,-0.373390
3.700000,1.182377,-0.900295,4.188195,0.816345,0.572158,2.686908,0.839641,1.548095,0.054629,0.820133,-0.561652,-0.775625,-0.916362,-1.117096,-0.396260,4.450240,2.156278,1.230556,1.321706,0.277438,0.239017,-2.646541,0.015445,2.437527,0.694436,1.774500,0.436260,-0.751180,-0.528264,-0.669592,-1.661615,0.179622,-0.590590
3.800000,1.145969,-1.023077,4.239877,0.809850,0.538208,2.594506,0.902176,1.513006,-0.041120,0.710910,-0.026708,-0.839234,-0.600953,-0.909979,-0.386159,4.571451,2.178328,1.247244,1.241614,0.223606,0.008454,-2.294514,0.295233,2.424927,0.627798,1.773783,0.343338,-0.650442,-0.237922,-0.739466,-1.355104,0.218940,-0.812722
3.900000,1.102872,-1.127375,4.300312,0.841010,0.527572,2.505067,0.952677,1.521908,-0.120316,0.497739,0.447597,-0.747780,-0.345411,-0.737285,-0.368516,4.687753,2.169448,1.246211,1.164370,0.052952,-0.166062,-2.029206,0.538431,2.431632,0.596747,1.809577,0.263298,-0.461160,0.049498,-0.727368,-1.121529,0.315559,-0.984562
4.000000,1.055333,-1.209316,4.375439,0.906552,0.539406,2.419068,0.985966,1.571806,-0.178981,0.284956,0.776249,-0.569793,-0.189923,-0.620464,-0.354363,4.799359,2.133383,1.236142,1.094328,-0.145358,-0.257474,-1.881115,0.699847,2.438594,0.593206,1.862044,0.199321,-0.251918,0.270113,-0.662274,-0.991716,0.403140,-1.089208
4.100000,1.006501,-1.265757,4.467167,0.996615,0.568278,2.337362,1.004409,1.655727,-0.222720,0.138545,0.977329,-0.417924,-0.142452,-0.567868,-0.353633,4.905667,2.082159,1.219163,1.045766,-0.309430,-0.304079,-1.848160,0.773346,2.430886,0.606352,1.925776,0.143991,-0.076211,0.434337,-0.601455,-0.963125,0.439290,-1.136309
4.200000,0.960011,-1.297890,4.572145,1.099079,0.607610,2.257761,1.013052,1.764152,-0.260513,0.064561,1.097930,-0.344191,-0.189434,-0.599282,-0.351502,5.008511,2.028232,1.189758,1.015530,-0.426404,-0.342837,-1.908684,0.750462,2.424206,0.626755,2.006467,0.088511,0.050842,0.566317,-0.564449,-1.002941,0.420130,-1.103770
4.300000,0.919428,-1.307382,4.686466,1.201557,0.649091,2.178113,1.018936,1.883416,-0.298612,0.053278,1.149976,-0.357958,-0.296902,-0.705315,-0.342681,5.108175,1.979217,1.154403,1.002241,-0.490654,-0.378421,-2.028887,0.656586,2.421421,0.645250,2.103808,0.028463,0.113914,0.677350,-0.551287,-1.078125,0.366903,-0.998425
4.400000,0.887944,-1.296497,4.806395,1.293896,0.682539,2.098877,1.027618,2.002986,-0.341669,0.085629,1.160629,-0.431265,-0.409550,-0.829478,-0.317147,5.208788,1.935500,1.126379,1.011361,-0.508367,-0.412056,-2.155550,0.556162,2.428494,0.655764,2.211708,-0.036227,0.118502,0.772955,-0.562991,-1.152795,0.328293,-0.870380
4.500000,0.867587,-1.271263,4.929216,1.372696,0.701996,2.020924,1.040499,2.119470,-0.390724,0.114458,1.157967,-0.502169,-0.470254,-0.916460,-0.269186,5.313318,1.894879,1.102271,1.021842,-0.498868,-0.442231,-2.228285,0.499130,2.454762,0.658220,2.323946,-0.102836,0.092555,0.847459,-0.574844,-1.183181,0.333928,-0.773190
4.600000,0.859279,-1.238057,5.053245,1.441654,0.709428,1.945873,1.051736,2.234275,-0.443253,0.079647,1.162181,-0.538553,-0.461989,-0.934804,-0.203396,5.419273,1.856102,1.068822,1.032322,-0.486839,-0.465453,-2.224241,0.507100,2.506468,0.656286,2.436068,-0.166035,0.056971,0.914288,-0.566873,-1.160610,0.386371,-0.738125
4.700000,0.863748,-1.201233,5.177351,1.507081,0.711215,1.876781,1.050170,2.350900,-0.494994,-0.038669,1.174954,-0.528209,-0.366846,-0.860185,-0.140218,5.526564,1.814785,1.018066,1.055857,-0.472202,-0.470787,-2.121518,0.595553,2.571596,0.656820,2.546273,-0.220669,0.021776,0.973259,-0.543054,-1.083918,0.477376,-0.789119
4.800000,0.880567,-1.164361,5.301152,1.577193,0.715663,1.814998,1.030360,2.468368,-0.536565,-0.202469,1.160757,-0.445687,-0.176502,-0.694821,-0.109310,5.637638,1.759430,0.979453,1.086665,-0.442609,-0.416309,-1.926193,0.767271,2.608971,0.669085,2.647521,-0.262975,-0.012039,0.999605,-0.508545,-0.965872,0.593184,-0.933795
4.900000,0.904832,-1.130427,5.423884,1.663515,0.733395,1.758822,1.005844,2.579408,-0.557212,-0.323745,1.123343,-0.318505,0.064390,-0.502336,-0.117126,5.756045,1.678900,1.022828,1.124435,-0.382919,-0.279448,-1.742512,0.989371,2.566842,0.697041,2.733370,-0.293746,-0.056735,1.003276,-0.483750,-0.846876,0.716266,-1.134389
5.000000,0.929211,-1.099958,5.545300,1.774587,0.772297,1.705232,0.987748,2.686837,-0.555028,-0.358169,1.113580,-0.214771,0.286335,-0.345828,-0.151016,5.880687,1.583575,1.169522,1.179880,-0.276053,-0.086299,-1.715565,1.200663,2.398020,0.736742,2.808554,-0.317827,-0.119266,1.022501,-0.492370,-0.771851,0.819921,-1.339909
5.100000,0.948221,-1.069189,5.665838,1.910977,0.832779,1.650724,0.970130,2.800347,-0.547709,-0.318164,1.171499,-0.213187,0.421519,-0.259577,-0.197051,6.008098,1.501694,1.354241,1.276195,-0.117260,0.101133,-1.881540,1.326530,2.126412,0.776310,2.888154,-0.343124,-0.203532,1.096391,-0.550257,-0.758816,0.867768,-1.491937
5.200000,0.957309,-1.030144,5.786429,2.067746,0.909983,1.592340,0.948884,2.923899,-0.565373,-0.209771,1.280042,-0.370805,0.405906,-0.287378,-0.237951,6.140266,1.454510,1.468782,1.420971,0.058254,0.195503,-2.037651,1.303410,1.985925,0.795956,2.988653,-0.383112,-0.310327,1.218863,-0.663227,-0.791884,0.821974,-1.504987
5.300000,0.956924,-0.972158,5.908228,2.232919,0.993548,1.529525,0.946918,3.044419,-0.630448,0.026692,1.293435,-0.703718,0.214147,-0.459375,-0.246943,6.280129,1.451083,1.467860,1.564283,0.250467,0.173945,-2.202814,1.104287,2.005016,0.767498,3.101209,-0.452626,-0.483225,1.286232,-0.829360,-0.872230,0.692591,-1.333812
5.400000,0.956233,-0.886984,6.028656,2.387676,1.067714,1.464118,1.010555,3.143711,-0.709855,0.464402,1.014336,-1.011108,-0.133406,-0.780554,-0.205844,6.417190,1.458740,1.609657,1.594092,0.457918,0.301659,-2.620247,0.812440,1.968525,0.664804,3.166181,-0.549256,-0.714342,1.141616,-0.987594,-1.059823,0.541643,-0.991242
5.500000,0.967254,-0.774597,6.142843,2.513232,1.116873,1.399882,1.071578,3.242399,-0.719495,0.868451,0.500018,-0.878139,-0.591008,-1.190361,-0.091652,6.521452,1.343521,2.007005,1.505205,0.418770,0.617478,-3.120542,0.481063,1.859195,0.521309,3.116288,-0.632950,-0.826460,0.762395,-1.027365,-1.388304,0.481289,-0.494352
5.600000,0.999877,-0.647028,6.246578,2.591546,1.127180,1.342085,1.049845,3.300196,-0.730709,0.958316,0.000934,-0.430966,-1.180213,-1.623511,0.097751,6.583173,1.139371,2.389182,1.353312,0.156786,0.715454,2.712394,0.180194,1.826257,0.438510,2.991361,-0.676477,-0.688116,0.417019,-0.942778,-1.768379,0.622717,0.073317
5.700000,1.055238,-0.525579,6.336511,2.606375,1.088608,1.294583,1.008520,3.279702,-0.788835,0.818600,-0.293482,-0.092915,-1.840812,-2.032709,0.317098,6.624496,0.879799,2.499444,1.233005,-0.043085,0.531799,2.266605,-0.282044,1.824414,0.461331,2.898558,-0.704044,-0.533640,0.341657,-0.876018,-2.074104,0.917509,0.581787
5.800000,1.125748,-0.429151,6.412860,2.551762,1.001213,1.258531,1.013789,3.231863,-0.823854,0.744815,-0.313124,0.076280,-2.385155,-2.307479,0.500578,6.660402,0.628712,2.441523,1.269304,-0.028061,0.235762,1.983456,-0.670316,1.812491,0.534663,2.866488,-0.734227,-0.646732,0.292525,-0.865598,-2.321196,1.193802,0.910674
5.900000,1.205818,-0.370523,6.476472,2.434805,0.875497,1.234545,1.078148,3.188481,-0.820756,0.850849,-0.166544,0.314614,-2.660981,-2.367978,0.614042,6.723010,0.450729,2.378212,1.472755,0.074256,0.006826,1.912169,-0.809525,1.785423,0.594934,2.857894,-0.757050,-0.914356,0.027898,-0.818782,-2.687585,1.307055,0.817779
6.000000,1.298303,-0.354732,6.526084,2.274530,0.730405,1.221988,1.184483,3.181759,-0.778491,1.063525,0.182484,0.566407,-2.601112,-2.206173,0.669937,6.825695,0.393983,2.396225,1.779953,0.195783,-0.091134,2.005041,-0.658990,1.838930,0.601209,2.808982,-0.798430,-1.201905,-0.347157,-0.779447,-2.949378,1.166144,0.482795
6.100000,1.411953,-0.376734,6.565681,2.101806,0.590352,1.217521,1.276402,3.269599,-0.718608,1.086527,0.891354,0.475041,-2.208595,-1.863038,0.691310,6.970251,0.402184,2.352965,2.028902,0.365279,-0.308064,2.401830,-0.335861,1.866080,0.574340,2.755974,-0.931361,-1.491687,-0.509763,-0.909874,-2.787214,0.823315,0.207402
6.200000,1.553075,-0.427049,6.605650,1.952170,0.477105,1.217738,1.405038,3.437866,-0.550068,0.383092,1.462325,0.118102,-1.516676,-1.510106,0.629271,7.128278,0.339405,2.180977,2.062338,0.212781,-0.736008,2.904667,-0.007677,1.769304,0.670350,2.892512,-1.143373,-1.551354,-0.114838,-1.192992,-2.336841,0.414758,-0.184602
6.300000,1.717924,-0.497406,6.655962,1.856262,0.405887,1.220830,1.636280,3.478804,-0.307861,-0.485213,1.250835,0.155984,-0.762516,-1.204378,0.426238,7.225626,0.226819,1.944811,1.815576,-0.023224,-0.904330,-2.960408,0.044209,1.743779,0.965133,3.205510,-1.271909,-1.169792,0.567614,-1.269309,-1.687604,0.177968,-0.714238
6.400000,1.892974,-0.582465,6.719282,1.833398,0.383808,1.224795,1.730019,3.489680,-0.074071,-1.028084,0.811966,0.468611,-0.097883,-0.981928,0.276725,7.281145,0.039494,1.796237,1.449488,-0.406953,-0.872490,-2.523480,0.138043,1.640756,1.193585,3.392399,-1.255588,-0.742751,0.861857,-0.972412,-1.087990,0.210049,-1.166734
6.500000,2.062873,-0.676622,6.789249,1.886021,0.405927,1.226780,1.715708,3.469357,0.030554,-1.130330,0.431953,0.514541,0.334129,-0.799072,0.155121,7.286716,-0.136290,1.703163,1.189105,-0.678223,-0.610673,-2.207677,0.202711,1.533383,1.258201,3.403646,-1.209249,-0.614438,0.821471,-0.731878,-0.697738,0.296822,-1.405032
6.600000,2.211419,-0.771343,6.859242,2.000245,0.459114,1.224510,1.597606,3.498623,0.098291,-1.129376,0.423215,0.323254,0.509353,-0.772758,0.106646,7.272926,-0.225222,1.558637,1.215789,-0.701922,-0.406675,-2.069112,0.120994,1.543730,1.314108,3.398187,-1.180851,-0.586362,0.840747,-0.809019,-0.541208,0.281372,-1.459356
6.700000,2.323502,-0.854908,6.931929,2.150429,0.527235,1.218023,1.451006,3.554410,0.054933,-0.900123,0.727652,-0.132708,0.306471,-0.940917,0.125009,7.295800,-0.152010,1.302576,1.567978,-0.342238,-0.411621,-2.270622,-0.217699,1.743847,1.370369,3.420798,-1.234834,-0.625248,0.875691,-1.171496,-0.707615,0.090931,-1.338339
6.800000,2.394996,-0.912139,7.018192,2.301982,0.588845,1.209710,1.439318,3.624352,-0.009382,-0.054651,0.957066,-0.591541,-0.230171,-1.365439,0.163112,7.395919,-0.099827,1.185340,1.917637,-0.107896,-0.074084,-2.938977,-0.714703,1.942444,1.269962,3.344382,-1.381680,-0.962122,0.536877,-1.548684,-1.294652,-0.140585,-0.920854
6.900000,2.434146,-0.928549,7.129494,2.417116,0.618182,1.203266,1.534580,3.667192,-0.033331,0.972283,0.473159,-0.293411,-1.001948,-1.968394,0.252515,7.469868,-0.226940,1.157822,1.963263,-0.376495,0.240524,2.896895,-1.130524,1.883949,0.984040,3.145503,-1.392622,-1.377298,-0.261369,-1.254385,-2.190848,0.083773,-0.297963
7.000000,2.453601,-0.899504,7.270288,2.463360,0.591590,1.203321,1.413684,3.616982,-0.251218,1.060200,-0.455254,-0.042711,-2.040939,-2.617083,0.568796,7.480924,-0.382653,1.155112,1.631850,-0.616567,0.355120,2.888388,-1.356374,1.321088,0.924570,3.163103,-1.326263,-1.076136,-0.573271,-0.522279,-3.050355,0.738718,-0.090530
7.100000,2.458844,-0.837589,7.434252,2.419907,0.495773,1.213674,1.564001,3.587812,-0.208360,0.964490,-0.649425,-0.636622,-2.786678,3.131043,0.592970,7.417691,-0.506968,0.919288,1.148145,-0.752996,0.057389,-1.411930,-1.058707,-1.247314,1.147141,3.412033,-1.485322,-0.461288,-0.199135,-0.399276,1.779532,1.113413,-0.839813
7.200000,2.443431,-0.768631,7.606865,2.281367,0.334588,1.234287,1.706520,3.593857,-0.152770,0.754273,-0.240668,-0.842167,2.953464,2.794123,0.579407,7.312523,-0.564729,0.780775,0.863310,-0.657415,-0.031996,-2.295813,-1.230225,-0.863696,1.372707,3.632184,-1.716828,-0.235155,0.026854,-0.586215,0.620138,0.870312,-1.424167
